iter	Passed	Remaining
0	239	238784
1	281	140313
2	318	105800
3	354	88233
4	388	77256
5	422	70022
6	451	64098
7	478	59305
8	503	55435
9	528	52275
10	553	49742
11	574	47272
12	594	45169
13	615	43343
14	636	41793
15	658	40470
16	692	40022
17	718	39184
18	742	38321
19	766	37551
20	789	36814
21	813	36174
22	837	35563
23	862	35091
24	884	34480
25	904	33885
26	925	33358
27	947	32875
28	970	32484
29	992	32092
30	1013	31685
31	1035	31317
32	1057	30987
33	1078	30655
34	1101	30358
35	1124	30124
36	1145	29814
37	1169	29600
38	1191	29371
39	1213	29123
40	1235	28909
41	1260	28743
42	1279	28483
43	1302	28304
44	1325	28133
45	1345	27896
46	1365	27685
47	1386	27502
48	1410	27367
49	1429	27162
50	1448	26947
51	1470	26804
52	1491	26651
53	1554	27236
54	1603	27545
55	1642	27686
56	1683	27854
57	1717	27889
58	1752	27948
59	1787	28010
60	1821	28033
61	1846	27933
62	1872	27845
63	1898	27765
64	1926	27716
65	1953	27646
66	1979	27561
67	2001	27438
68	2023	27296
69	2046	27183
70	2067	27057
71	2086	26898
72	2108	26778
73	2128	26631
74	2150	26522
75	2171	26405
76	2194	26300
77	2215	26193
78	2238	26100
79	2259	25988
80	2280	25869
81	2302	25771
82	2323	25666
83	2343	25554
84	2363	25444
85	2381	25310
86	2401	25198
87	2423	25112
88	2445	25036
89	2466	24940
90	2486	24839
91	2510	24774
92	2532	24700
93	2555	24629
94	2578	24558
95	2600	24484
96	2622	24417
97	2645	24348
98	2667	24277
99	2689	24204
100	2710	24122
101	2732	24054
102	2753	23982
103	2776	23919
104	2796	23835
105	2818	23767
106	2839	23700
107	2864	23658
108	2884	23575
109	2903	23494
110	2922	23409
111	2945	23352
112	2966	23285
113	2988	23225
114	3010	23169
115	3032	23111
116	3055	23060
117	3077	23006
118	3099	22949
119	3117	22864
120	3137	22795
121	3158	22734
122	3182	22687
123	3203	22632
124	3223	22566
125	3244	22508
126	3267	22463
127	3289	22412
128	3313	22372
129	3335	22321
130	3358	22277
131	3379	22222
132	3401	22173
133	3422	22120
134	3455	22142
135	3477	22092
136	3497	22034
137	3518	21980
138	3542	21941
139	3563	21892
140	3583	21829
141	3604	21780
142	3624	21721
143	3644	21666
144	3667	21624
145	3685	21559
146	3703	21492
147	3720	21416
148	3742	21375
149	3766	21341
150	3818	21472
151	3867	21576
152	3905	21620
153	3943	21662
154	3971	21653
155	4002	21656
156	4030	21639
157	4054	21608
158	4079	21578
159	4101	21533
160	4129	21517
161	4150	21468
162	4171	21418
163	4190	21363
164	4211	21315
165	4231	21261
166	4251	21208
167	4270	21149
168	4288	21085
169	4305	21018
170	4323	20959
171	4340	20896
172	4359	20839
173	4377	20778
174	4395	20721
175	4417	20682
176	4435	20624
177	4453	20567
178	4473	20517
179	4491	20461
180	4511	20412
181	4530	20361
182	4548	20308
183	4567	20255
184	4586	20205
185	4605	20155
186	4625	20109
187	4648	20078
188	4668	20030
189	4689	19991
190	4709	19947
191	4728	19900
192	4748	19855
193	4766	19803
194	4786	19759
195	4805	19711
196	4823	19660
197	4843	19620
198	4862	19572
199	4885	19542
200	4905	19501
201	4924	19455
202	4944	19411
203	4962	19362
204	4982	19321
205	5000	19273
206	5019	19227
207	5038	19186
208	5058	19143
209	5077	19101
210	5096	19056
211	5115	19012
212	5133	18967
213	5152	18925
214	5171	18880
215	5189	18835
216	5212	18809
217	5230	18761
218	5247	18714
219	5264	18665
220	5281	18618
221	5299	18573
222	5317	18528
223	5336	18485
224	5353	18440
225	5371	18396
226	5389	18351
227	5407	18310
228	5426	18269
229	5442	18222
230	5460	18177
231	5479	18137
232	5497	18095
233	5514	18053
234	5532	18010
235	5549	17966
236	5567	17925
237	5584	17880
238	5607	17854
239	5624	17811
240	5642	17770
241	5660	17729
242	5679	17691
243	5697	17651
244	5715	17613
245	5732	17570
246	5750	17531
247	5769	17494
248	5791	17466
249	5809	17428
250	5828	17391
251	5847	17356
252	5866	17322
253	5884	17283
254	5903	17246
255	5920	17206
256	5938	17167
257	5956	17130
258	5974	17094
259	5993	17057
260	6011	17020
261	6029	16982
262	6046	16943
263	6064	16907
264	6082	16869
265	6100	16833
266	6117	16794
267	6135	16759
268	6152	16720
269	6170	16684
270	6188	16647
271	6205	16609
272	6223	16573
273	6241	16537
274	6259	16501
275	6276	16463
276	6293	16426
277	6312	16393
278	6329	16357
279	6348	16324
280	6398	16372
281	6446	16414
282	6481	16420
283	6516	16428
284	6547	16425
285	6576	16418
286	6603	16404
287	6630	16392
288	6655	16373
289	6679	16354
290	6703	16332
291	6724	16305
292	6745	16276
293	6767	16252
294	6791	16230
295	6812	16202
296	6832	16172
297	6853	16143
298	6872	16112
299	6892	16081
300	6911	16051
301	6934	16028
302	6958	16006
303	6983	15989
304	7011	15976
305	7032	15950
306	7052	15918
307	7072	15889
308	7091	15858
309	7110	15826
310	7130	15797
311	7148	15762
312	7166	15729
313	7185	15698
314	7203	15665
315	7224	15637
316	7242	15604
317	7260	15571
318	7278	15537
319	7296	15506
320	7315	15474
321	7333	15441
322	7352	15410
323	7370	15377
324	7387	15344
325	7406	15312
326	7424	15280
327	7442	15248
328	7460	15214
329	7476	15180
330	7494	15146
331	7511	15113
332	7528	15078
333	7546	15047
334	7564	15015
335	7586	14991
336	7603	14958
337	7620	14924
